common_name,scientific_name,extinction_date,type,region,habitat,extinction_cause,last_seen,description,sources
Great Auk,Alca impennis,1844,Animal,North Atlantic,Marine/Rocky coasts,"Hunting, egg collection","Eldey Island, 1844",Last breeding pair killed for specimens,"IUCN, BirdLife"
Passenger Pigeon,Ectopistes migratorius,1914,Animal,Eastern North America,Deciduous forests,"Overhunting, habitat destruction","Cincinnati Zoo, 1914","Martha, last individual, died in captivity","Smithsonian, USFWS"
Carolina Parakeet,Conuropsis carolinensis,1918,Animal,Eastern United States,Deciduous forests,"Hunting, habitat loss","Florida, 1918",Only native parrot of eastern North America,"AOU, Smithsonian"
Heath Hen,Tympanuchus cupido cupido,1932,Animal,Martha's Vineyard,Coastal heathland,"Habitat loss, hunting, disease","Martha's Vineyard, 1932",Subspecies of Greater Prairie-Chicken,Mass Audubon
Bachman's Warbler,Vermivora bachmanii,1988,Animal,Southeastern US/Cuba,Swamp forests,Habitat destruction,"South Carolina, 1962",Possibly extinct; last confirmed 1988,Cornell Lab
Dusky Seaside Sparrow,Ammodramus nigrescens,1987,Animal,Florida,Salt marshes,"Habitat loss, pesticides","Disney World, 1987",Last male died in captivity,USFWS
Laysan Rail,Porzana palmeri,1944,Animal,"Laysan Island, Hawaii",Island grassland,Habitat destruction by rabbits,"Laysan Island, 1923",Flightless rail endemic to one island,USFWS
Wake Island Rail,Hypotaenidia wakensis,1945,Animal,Wake Island,Island scrubland,"War destruction, introduced species","Wake Island, 1945",Extinct due to WWII military activity,Pacific Studies
Hawaiian Rail,Porzana sandwichensis,1944,Animal,"Big Island, Hawaii",Wetlands,"Habitat loss, introduced predators","Hawaii, 1884",Also known as Moho,USFWS
Laughing Owl,Sceloglaux albifacies,1914,Animal,New Zealand,"Rocky areas, grasslands","Introduced predators, habitat loss","Canterbury, 1914",Also called White-faced Owl,NZ DOC
Thylacine,Thylacinus cynocephalus,1936,Animal,Tasmania,"Forests, grasslands","Hunting, disease, competition","Hobart Zoo, 1936","Tasmanian Tiger, largest marsupial predator",Museum Tasmania
Quagga,Equus quagga quagga,1883,Animal,South Africa,Grasslands,Overhunting,"Amsterdam Zoo, 1883",Plains zebra subspecies with reduced striping,Natural History Museum
Caribbean Monk Seal,Neomonachus tropicalis,1952,Animal,Caribbean Sea,Marine/Coastal,Hunting for oil,"Serranilla Bank, 1952",Only Caribbean pinniped,NOAA
Japanese Sea Lion,Zalophus japonicus,1974,Animal,"Japan, Korea",Rocky coasts,"War, hunting","Dokdo, 1951",Extinct due to WWII disruption,Japanese museums
Falkland Islands Wolf,Dusicyon cultrae,1876,Animal,Falkland Islands,Grasslands,Hunting by settlers,"West Falkland, 1876",Only native land mammal of Falklands,Darwin correspondence
Caucasian Wisent,Bison bonasus caucasicus,1927,Animal,Caucasus Mountains,Mountain forests,"Hunting, civil war","Caucasus, 1927",Mountain subspecies of European bison,WWF
Sardinian Pika,Prolagus sardus,1774,Animal,"Sardinia, Corsica",Rocky areas,Human colonization,"Corsica, 1774",Last European pika,Paleontological records
Toolache Wallaby,Notamacropus greyi,1939,Animal,South Australia,Grasslands,"Hunting, habitat clearing","South Australia, 1924",Considered most beautiful wallaby,South Australian Museum
Christmas Island Shrew,Crocidura trichura,1985,Animal,Christmas Island,Rainforest,"Habitat loss, cats","Christmas Island, 1985",Endemic to Christmas Island,Australian Museum
Flores Giant Rat,Papagomys theodorverhoeveni,1996,Animal,"Flores, Indonesia",Montane forest,Deforestation,"Flores, 1996",Large endemic rodent,Mammal Species of World
